"Bill of Material for "
"On 14-02-2018 at 16:05:03"

"Comment","Pattern","Quantity","Components"

"","DIP-20","1","GSM1",""
"","HDR1X8","1","MP1","Header, 8-Pin"
"","SOP65P780X200-28N","1","FTDI1",""
"","SOT125P1000X210-6N","9","OPTO1, OPTO2, OPTO3, OPTO4, OPTO5, OPTO6, OPTO7, OPTO8, OPTO9",""
"Cap_0805","CAP_0805","17","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17","Capacitor"
"Header 8","HDR1X8","1","COMUCACION PLACAS","Header, 8-Pin"
"LD1117-SOT223","SOT223","1","Reg1",""
"NPN","SOT-23B_N","1","Q1","NPN Epitaxial Silicon Transistor"
"ProMiniSimple","DIP-20","2","Xbee comunicacion1, Xbee programacion1",""
"Res_0805","RES_0805","12","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12","Resistor"
"RTC","RTC","1","RTC",""
"Teensy","Teensy3.6-edgeonly","1","Teensy1",""
